ANID,Group,La,Lu,Nd,Sm,U,Yb,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V
A23,Rancho,7.70 ,0.06 ,4.82 ,0.95 ,1.77 ,0.33 ,7.22 ,0.23 ,11.05 ,0.01 ,0.18 ,1185.60 ,0.05 ,5.02 ,0.36 ,0.15 ,0.21 ,3.39 ,0.00 ,0.15 ,0.07 ,2.06 ,13.69 ,2182.80 ,34.50 ,461.34 ,0.70 ,226.06 ,2.91 ,485.60 ,0.00 ,10.91 
A24,Rancho,3.39 ,0.03 ,2.31 ,0.50 ,1.67 ,0.20 ,2.51 ,0.14 ,10.77 ,0.02 ,0.09 ,345.47 ,0.06 ,1.99 ,0.45 ,0.06 ,0.17 ,51.71 ,0.01 ,0.08 ,0.10 ,3.36 ,12.82 ,2150.20 ,25.23 ,32602.00 ,0.56 ,0.00 ,6.89 ,424.53 ,0.00 ,7.24 
A25,Rancho,4.97 ,0.04 ,3.04 ,0.57 ,1.74 ,0.17 ,3.55 ,0.08 ,7.28 ,0.01 ,0.10 ,566.53 ,0.03 ,2.02 ,0.32 ,0.24 ,0.23 ,3.70 ,0.01 ,0.07 ,0.03 ,3.08 ,13.28 ,1416.60 ,25.22 ,1066.90 ,0.49 ,379.78 ,3.57 ,312.13 ,0.00 ,5.72 
A26,Rancho,6.74 ,0.03 ,4.91 ,0.80 ,1.27 ,0.22 ,3.53 ,0.13 ,5.34 ,0.01 ,0.15 ,344.87 ,0.03 ,1.67 ,0.18 ,0.16 ,0.17 ,5.62 ,0.00 ,0.10 ,0.04 ,1.39 ,10.81 ,1382.40 ,46.89 ,471.43 ,0.40 ,304.47 ,3.48 ,264.00 ,0.00 ,4.44 
F01,23G-F,13.20 ,0.08 ,11.72 ,2.17 ,0.93 ,0.57 ,23.23 ,0.11 ,4.77 ,0.02 ,0.41 ,421.69 ,0.03 ,9.80 ,0.27 ,0.19 ,0.24 ,5.80 ,0.00 ,0.27 ,0.04 ,1.52 ,12.36 ,2060.00 ,9.28 ,0.00 ,1.40 ,187.78 ,0.49 ,278.63 ,0.00 ,4.16 
F02,23G-F,0.89 ,0.00 ,0.50 ,0.08 ,0.34 ,0.02 ,0.99 ,0.11 ,3.71 ,0.01 ,0.01 ,1211.10 ,0.03 ,0.00 ,0.46 ,0.28 ,0.20 ,2.73 ,0.00 ,0.01 ,0.05 ,1.84 ,3.11 ,1326.20 ,16.92 ,0.00 ,0.00 ,308.97 ,0.63 ,175.09 ,0.00 ,6.67 
F04,23G-F,1.31 ,0.02 ,1.36 ,0.29 ,1.08 ,0.11 ,0.84 ,0.08 ,6.36 ,0.03 ,0.05 ,460.82 ,0.03 ,0.00 ,0.45 ,0.12 ,0.23 ,0.64 ,0.00 ,0.04 ,0.04 ,2.24 ,8.55 ,1749.70 ,5.10 ,444.74 ,0.19 ,472.92 ,0.79 ,295.48 ,0.00 ,3.46 
F05,23G-F,1.50 ,0.01 ,0.84 ,0.17 ,0.44 ,0.09 ,1.18 ,0.09 ,3.40 ,0.02 ,0.03 ,446.24 ,0.02 ,0.00 ,0.45 ,0.18 ,0.16 ,4.83 ,0.00 ,0.03 ,0.02 ,3.38 ,4.24 ,1299.10 ,15.27 ,0.00 ,0.30 ,196.96 ,0.63 ,225.65 ,0.00 ,2.81 
F06,23G-F,5.34 ,0.04 ,3.36 ,0.67 ,0.54 ,0.24 ,6.61 ,0.06 ,3.60 ,0.01 ,0.13 ,285.94 ,0.02 ,4.42 ,0.49 ,0.12 ,0.19 ,19.44 ,0.00 ,0.09 ,0.02 ,1.43 ,5.96 ,1260.20 ,5.86 ,0.00 ,0.51 ,321.04 ,0.34 ,193.95 ,50.32 ,3.13 
F07,23G-F,1.43 ,0.02 ,1.27 ,0.30 ,1.23 ,0.10 ,0.92 ,0.08 ,5.10 ,0.03 ,0.05 ,543.71 ,0.03 ,0.00 ,0.61 ,0.12 ,0.22 ,0.00 ,0.00 ,0.05 ,0.04 ,2.63 ,9.42 ,1748.50 ,0.00 ,0.00 ,0.22 ,549.39 ,0.88 ,300.06 ,29.83 ,4.11 
F08,23G-F,2.01 ,0.02 ,1.22 ,0.21 ,0.47 ,0.13 ,2.08 ,0.14 ,2.35 ,0.02 ,0.04 ,271.70 ,0.02 ,0.00 ,0.44 ,0.23 ,0.22 ,3.53 ,0.00 ,0.04 ,0.03 ,1.50 ,4.56 ,1489.60 ,22.62 ,0.00 ,0.16 ,150.95 ,0.46 ,243.43 ,0.00 ,7.34 
F09,23G-F,1.28 ,0.02 ,1.34 ,0.28 ,1.04 ,0.09 ,0.85 ,0.06 ,5.16 ,0.03 ,0.05 ,457.34 ,0.02 ,2.26 ,0.55 ,0.12 ,0.21 ,0.00 ,0.00 ,0.04 ,0.04 ,2.52 ,7.64 ,1705.70 ,0.00 ,0.00 ,0.18 ,169.58 ,0.77 ,262.91 ,60.14 ,4.51 
F10,23G-F,14.69 ,0.06 ,6.10 ,1.10 ,0.66 ,0.46 ,16.33 ,0.12 ,3.05 ,0.02 ,0.23 ,300.78 ,0.01 ,3.17 ,0.48 ,0.15 ,0.23 ,43.11 ,0.00 ,0.17 ,0.03 ,1.71 ,8.42 ,1370.60 ,17.28 ,0.00 ,1.28 ,128.85 ,0.58 ,220.73 ,0.00 ,2.59 
F11,23G-F,3.49 ,0.02 ,3.55 ,0.69 ,0.40 ,0.11 ,6.23 ,0.26 ,2.43 ,0.02 ,0.12 ,573.25 ,0.03 ,1.99 ,0.46 ,0.36 ,0.18 ,1.01 ,0.00 ,0.08 ,0.10 ,1.60 ,5.21 ,1604.90 ,5.31 ,0.00 ,0.42 ,0.00 ,0.73 ,238.38 ,31.64 ,8.73 
