ANID,Group,Sr,Co,B,U,Li,Ni,MgO,Na2O,Ti,Al2O3,K2O,Sc,Zn,CaCO3,Mo,SiO2,Rb,Cd,Mn,Ba,Be,La,Cr,Nb,Y,P,Cs,Eu,Sn,V,Bi,Pb,As,Sb
24GG10,24G-G,0.950921504,6.915930671,3.515603821,0.291063715,21.36272332,0.701953666,55.39984789,181.0576547,32.65659325,562.1780324,158.7658134,7.030514172,12.25136653,3636.985012,0.345854003,992504.6419,0.418185249,0.493633483,34.4432787,2.939132073,0.316558629,1.270270862,38.53513195,0.119132419,1.17249114,22.24620259,0.04152039,0.060496559,0.637655936,21.20889991,0.449107149,4.592674058,9.556820994,0.800109336
24GG11,24G-G,4.180726791,5.562921159,16.88317297,0.460401918,1.607210545,0.728809166,846.641237,255.4495685,19.9583869,225.2420178,132.2491609,10.16593766,33.35440209,10351.55896,1.720619278,986180.0321,0.225524803,4.420476569,23.28784756,32.53904555,2.351813582,6.222357097,135.5211669,0.533414046,0.774064452,73.68334365,0.090887903,0.314055247,1.259852062,4.611737227,0.565587001,420.913742,3.711033133,5.388951939
24GG12,24G-G,6.082320855,8.204012529,21.01083568,0.930809225,3.975528122,0.177300953,2727.987651,309.2103375,12.10459943,202.6215717,96.18903168,6.278798924,24.8581432,9845.045287,0.53817869,985928.0151,0.351289661,3.360596402,39.41062511,99.13047414,0.591111072,0.999475909,73.26032268,0.139035247,1.363329057,18.53647433,0.038765587,0.245577048,1.038398748,1.765546279,0.177636432,341.8994151,1.538623916,1.193611078
24GG13,24G-G,0.727929149,10.09984049,5.451369227,0.299789888,3.573792348,0.776653145,99.44627448,106.1966085,14.22698695,318.4137532,145.6299608,7.468642701,10.54887207,2819.599978,0.184592027,993518.3939,0.268310544,0.661176019,135.5583978,18.1012736,0.252396305,1.572606314,110.1082442,0.061762442,1.387045828,66.74968417,0.033560971,0.143330705,0.543477501,12.81196992,0.181068887,81.57034211,14.87490722,3.387369525
24GG14,24G-G,0.78317079,10.94567406,5.889009402,0.22335549,13.51704426,0.380577,270.206769,179.5065211,25.25700651,622.1310501,197.0634103,7.177163608,13.75475051,4624.556991,0.431275448,989546.0553,0.549452973,1.025924231,19.75791752,10.56890527,0.710540095,2.628646376,124.907466,0.167126151,7.934042616,31.46604259,0.075937235,0.270594342,0.765277249,34.92655888,0.166954782,126.2520197,13.10167179,1.7711792
24GG15,24G-G,2.503185287,11.40256103,39.27652384,0.892298542,13.26978632,1.893951036,3545.435367,314.7975915,25.66785208,508.7827141,582.4834953,10.46227128,32.56775681,10255.31618,20.96388783,977574.6746,0.983941881,3.20700184,67.9838465,40.51617032,4.131796136,1.77740907,0,1.123408856,15.1375449,0,0,0,3.227102906,21.85428536,0.925409503,9.06409558,37.23491195,11.01014969
24GH01,24G-H,1.295231386,15.19314529,51.26204489,3.246363041,53.47256963,1.367907324,16.99769998,235.2691973,99.54582556,790.6064798,418.5430293,10.20241703,11.54303461,4717.077359,0.879520001,988851.155,1.003483956,1.866835685,38.2185385,9.290923742,4.20904742,0.775988956,0,0.784740332,3.9500963,170.9301408,0.091375391,0.341461721,2.023039594,28.03250296,0.272442128,6.62100597,41.10757971,2.798437517
24GH02,24G-H,15.97488219,17.22359813,0,0.576567133,1.5957316,1.767702957,35.15147174,51.73083602,37.04818597,107.5669561,0,27.12438536,78.66029995,17236.25468,0,978839.6966,0.68664601,22.380133,133.8636096,1665.85874,6.407517858,1.653825114,0,2.090595588,2.023710547,0,0.243429554,9.096746239,9.046659915,8.622231115,3.76097537,19.80950107,27.01033878,11.10623189
24GH03,24G-H,2.927370775,9.400816652,5.439763262,0.67735858,1.632860717,1.352123117,63.89243186,92.37799038,12.64041896,125.2651725,78.29550184,7.017328864,15.12210997,4592.435495,0.316099265,991779.3436,0.496102185,0.681423713,578.1174878,84.03896696,0.360173946,4.550558978,0,0.058757391,30.69340019,35.00734788,0.049602525,0.575255886,0.752181485,21.75101769,0.162821827,374.7964237,19.56637521,1.702923132
24GH04,24G-H,85.9056506,90.4339112,17.45961588,0.469337511,3.031854457,0.677103633,87.12439441,258.3832693,22.11945289,245.9425776,199.9218697,8.471393952,20.97252595,4416.518336,0.209596375,989285.7315,1.05974141,0.583906692,24.5712777,4459.248975,0.286585241,16.29847323,0,0.155841376,5.177360665,40.84806681,0.030485641,0.732356568,5.176439718,3.269187359,1.361212751,309.9647801,5.935057421,2.008622435
