ANID,Group,Sr,Co,B,Ni,U,Li,MgO,Na2O,Ti,Sc,Al2O3,K2O,CaCO3,Zn,Mo,SiO2,Cd,Ba,Rb,Cr
23G-I16,23G-I,4.640862533,5.319512945,16.48426482,0.559394887,0.569086892,4.257012088,79.22798247,316.6864095,92.33855227,6.660139389,668.4268144,325.7464112,4502.250984,28.73732216,0,993413.2182,2.345981792,93.67611755,0.698573288,0
23G-I17,23G-I,1.57166045,5.970245788,12.81908203,0.672217019,0.443950904,2.634220899,41.83709556,151.2054837,39.89752682,7.110709917,268.7266133,158.2030523,4099.182044,35.96332086,0,994370.6742,1.127653416,4.664982898,0.387445735,0
23G-I18,23G-I,1.515616662,8.079520972,17.77820886,0.915376912,0.925819588,2.399966672,59.32639274,238.0047666,144.6189491,6.835194841,411.349557,282.8936498,4550.34002,32.38500744,0.96393523,993822.1665,0,3.038543213,0.718589271,0
23G-I19,23G-I,15.06264256,8.389347675,10.68676795,0.539630961,0.241403207,8.712931913,132.1019433,198.9387814,67.08061566,7.016438373,372.6971555,181.2817505,16538.53906,36.86547268,0.62173996,981611.8083,1.597479629,18.8643691,0.475688516,0
23G-V01,23G-V,2.100303309,1.944378379,58.13829571,15.30707942,1.271583893,0.901510329,111.4706023,213.7719401,43.39720878,7.625065085,272.2887824,257.8973625,3636.018133,46.59104229,0.942627139,980821.9828,0.895697544,1.900342175,1.283604206,199.4706452
23G-V02,23G-V,2.768893339,1.904821435,78.24218869,13.38075008,1.186808099,6.842653613,112.983011,414.4634434,324.2840953,13.51647319,839.0203223,543.0535012,5600.656943,74.80648421,3.825721782,989039.4352,2.423503038,4.583447881,1.656386393,272.1632122
23G-V04,23G-V,7.212352554,12.29364681,78.02369164,6.28105103,0.665968411,32.64403042,824.1280433,680.6872077,780.5357469,9.737744681,23797.7051,9242.261432,6348.646798,124.0064106,4.815735392,952937.6089,5.687876115,21.00478799,42.18827942,231.2616075
23G-V05,23G-V,1.865244532,0.136419129,36.7848118,9.114438411,1.07779035,4.819471773,75.95908766,488.3929214,95.21472464,6.832970139,932.7329965,439.3603084,3819.500987,13.33050914,0.288219099,993603.2246,0.228224862,5.786558947,0.896836041,24.27276865
23G-V06,23G-V,1.925054453,0.736934296,37.32608817,6.965738065,1.741661544,10.11764125,81.33633033,535.8390801,77.65115242,7.627253811,1213.623973,530.870265,3940.701673,28.94101399,0.21330697,992712.4844,0.718092069,7.810975779,1.207617652,0
23G-V08,23G-V,2.605683967,16.46181205,66.97926188,15.14042482,1.173259718,6.824781721,114.4714317,507.7311638,198.3083331,6.283622224,1069.699351,484.4414352,4965.423254,70.67552379,55.55537665,989405.2027,2.027246505,7.428588624,1.194205559,162.964669
23G-V09,23G-V,2.744603573,0.555017,29.47266491,11.24301873,0.661567855,6.240497007,60.2058415,311.2387695,45.78128951,7.557194354,485.9963865,329.1149833,4201.329007,34.23068582,0.370397133,993182.4317,0.651771401,14.02163332,0.787826042,60.32353115
23G-V10,23G-V,2.232922656,18.68053782,73.786358,2.208323457,1.314230518,5.515030159,155.068525,533.84276,308.2529043,6.98121651,728.8126656,373.4555465,6080.346982,83.55459312,7.127575027,977780.7301,2.338443114,4.223187264,0.461297021,170.1053485
23G-V11,23G-V,4.648577347,0,74.03180007,10.28766155,1.70980177,5.761779123,165.3343339,463.6004092,300.9389414,7.505949331,822.7924115,565.8044819,4981.156607,65.65850141,1.634905161,989658.1496,1.941887301,8.07726338,1.027523244,259.1347134
23G-V12,23G-V,1.856658352,0.844470835,82.02262409,9.862170325,0.864961326,4.639405303,170.6861001,671.3691162,133.0962602,9.364320795,684.4788733,471.5969657,5548.317463,84.12250092,2.077685735,989138.7635,1.880234438,3.928130304,0.74487991,0
23G-W01,23G-W,78.86408487,6.284386474,25.59058135,0.173889136,0.945964121,1.398037169,310.7735698,188.8602127,10.16150275,6.394442364,65.4767388,79.20468337,32027.31218,18.48269732,0.328146638,966604.9065,0.578845648,143.7721288,0.15124672,35.4945354
23G-W02,23G-W,112.8048806,5.719082913,16.60868574,0.337623982,1.333889747,0.397187095,406.8882731,276.3881967,10.70749678,6.834424479,87.02362808,58.92483357,38823.94084,9.448156957,0.64989692,959242.2434,0.477670093,238.8955578,0.158783354,32.14650552
